Content Type,Size,Content Title,Content,Designer Name,Instructions For Designer,Reference Link/Image,Assigned By,Assigned Date,Completion Date,Design Status,Approval Status,Captions,Posting Status,Design Drive Link,,,,
SM post,"Provide both sizes 
1080x1350 ig
1080x1080 fb",FES Expo KEY,"FES, 21 Years and Expo Logo
KEY BENEFITS OF STUDYING ABROAD

EXPOSURE
GROWTH
BRIGHT FUTURE
NETWORKING

#parhoyahanbarhowahan
Join us at the Expo
Free Entry

www.fespak.com
0341 8454888
0346 8454999",Tayyaba,,https://www.pinterest.com/pin/366058275983465957/,Insia,13 May,,Completed ,,"Studying abroad isn’t just about earning a degree, it’s about gaining global exposure, experiencing personal and academic growth, building a bright future and creating lifelong connections through powerful networking.  If you're dreaming of international opportunities, now's your chance!",Posted,,,,,
Printing,10 × 3 feet,Hanging Banners,"FES & UET logo
FES Study Abroad Education Expo 2025
Place logos of:
ENU, RGU, UoN, University of Dundee, LJMU, MMU, University of Stirling, Aberystwyth University, University of Essex, ARU, UEA, NTU, UoP, USW
0345-8454772
0346-8454747
www.fespak.com
",Raheel,Most Urgent,,Shumaila,13 May,,Completed ,,None,No need to post,,,,,
Printing,,DHA Team Visiting Cards,"DHA Team
1. Daud Aftab
2. Arzoo Fatima
3. Faiza Iqbal   
4. Iqra Arif
5. Muhammad Hassan Malik",Tayyaba,Word file shared over whatsapp,,Shumaila,13 May,,Completed ,,None,No need to post,,,,,
SM post,"Provide both sizes 
1080x1350 ig
1080x1080 fb",Generic Post,"FES, 22 Years Logo
Whether You Have
Low CGPA
No IELTS
Low Budget

Don't Worry! We Still Have Options For You
Join us at Application Week featuring Top Study Destinations at every FES Office from
16 June - 21 June
11:00 AM - 5:00 PM

Let us help you apply for the September 2025 Intake

Contact Now
0346-8454747
0345-8454772
www.fespak.com",Tayyaba,,"https://www.pinterest.com/pin/833095631111494946/
https://www.pinterest.com/pin/803962971016413682/
https://www.pinterest.com/pin/262686590761662142/",Insia,14 May,,Completed ,,,,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Expo Door Post,"FES, 21 Years and Expo Logo
Let FES Be Your Door To Success
At The Biggest Study Abroad Expo Of The Year

#ParhoWahanBarhoYahan
Register Now

0346 8454999
0341 8454555
www.fespak.com",Tayyaba,Follow any of the inspo,"https://www.pinterest.com/pin/12455336470651265/
https://www.pinterest.com/pin/9851692929698953/",Insia,14 May,,Completed ,,"Every dream needs the right door, register now for the biggest Study Abroad Expo of the year and and walk through the door of opportunities with FES.",Posted,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Expo IELTS Post,"""FES, 21 Years and Expo Logo
NO IELTS? 
NO WORRIES
Find out your options at the Biggest Study Abroad Expo Of The Year

#ParhoWahanBarhoYahan
Register Now

0346 8454999
0341 8454888
www.fespak.com""",Raheel,,,Insia,14 May,,,,,,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Expo Low cgpa Post,"FES, 21 Years and Expo Logo
Low CGPA?
No Problem
Meet International Universities at the Biggest Study Abroad Expo Of The Year that value potential, not just numbers

Let's find the right university for you together.

#ParhoWahanBarhoYahan
Register Now (QR Code)

0346 8454999
0341 8454888
www.fespak.com",Tayyaba,,https://www.pinterest.com/pin/75646468737509960/,Insia,14 May,,Completed ,,Struggling with a low CGPA? Don’t let it hold you back! Explore top international universities at the FES Study Abroad Expo 2025 – where your potential matters more than just numbers. See you!,Posted,,,,,
Printing,,Rwp Team Employee Cards,,Raheel,,,Insia,14 May,,,Haven't received the sheet's access,,,,,,,
Certificate,,Anniversary Certificate,"David Jasper Joyce
",Akbar,,,Amjad,14 May,,,,None,,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Expo Scholarship Post,"FES, 21 Years and Expo Logo
No clue about scholarship deadlines? 
Meet International Universities at the Biggest Study Abroad Expo and 
Get Personalized Advice From Experts

#ParhoWahanBarhoYahan
Register Now (QR Code)

0346 8454999
0341 8454888
www.fespak.com",Tayyaba,,https://www.pinterest.com/pin/384846730677675552/,Insia,14 May,,Completed ,,"No idea when or how to apply for scholarships? Get all the answers at the FES Study Abroad Expo! Explore international universities, learn about upcoming scholarship deadlines and receive one-on-one guidance from experienced education consultants.",Posted,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Expo Visa Rejections Post,"FES, 21 Years and Expo Logo
Worried about Visa rejections?
Explore Top Foreign Universities With High Visa Success Rate 

✅ Expert Advice From Counsellors
✅ Trusted by Thousands of Students
✅ Smooth Application & Visa Support

Contact Now
0346 8454999
www.fespak.com",Tayyaba,,,Insia,14 May,,Completed ,,"Concerned about study visa rejection? Explore foreign universities with excellent visa success records. Receive expert advice, choose from trusted institutions and get full support for a smooth application and visa journey.",,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Expo Gift Post by Rabab,"FES, 21 Years and Expo Logo
Special Offer for Students!
The first 100 students to register for the FES Study Abroad Expo 2025 will receive a guaranteed gift from FES!

Register Now (QR Code)
#ParhoWahanBarhoYahan

0346 8454999
0341 8454888
www.fespak.com",Tayyaba,"On Hold, Don't make plz",,Insia,14 May,,,,None,,,,,,
Card,,Invitation ,"FES, 21 years and expo Logo 
We are excited to invite you to the Biggest Study Abroad Expo of 2025 — packed with global opportunities for students aiming to study abroad!

FES Study Abroad Expo 2025 (highlight)

Key Highlights:
✅ Top-Ranked International Universities
✅ Career Opportunities & Study Pathways
✅ 95% Visa Success Rate
✅ UG, PG & PhD Programs
✅ 1000s of Scholarships
✅ On-Spot Application Support


Looking forward to your valued presence and participation!

📞 0341 8454888
🌐 www.fespak.com

Office 115A-116, 1st Floor, Kohistan Tower, Mehfooz Shaheed Road, Saddar, Rawalpindi
23rd May, 2025
Friday
11:00 AM - 5:00 PM
QR Code",Raheel,,,Insia,14 May,16 May,,,None,,,,,,
Printing,,DHA Employee Card,DHA Employee Cards editing,Tayyaba,,,Shumaila,14 May,,Completed ,,None,,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Aberystwyth University,"FES, 21 Years & Aberystwyth University logo
Golden Opportunity for Pakistani Graduates!
Apply for Postgraduate Studies at Aberystwyth University (UK)
Get £3,000 (Highlight amount) Tuition Fee Discount
Through the Vice Chancellor’s Scholarship
Apply Now
0341-8454888 | 0346-8454999
www.fespak.com
",Tayyaba,Add the attached image in the SM post,,Shumaila,15 May,20 May,Completed ,,"Golden Opportunity for Pakistani Graduates! Apply for postgraduate studies at Aberystwyth University, UK and receive a £3,000 tuition fee discount through the prestigious Vice Chancellor’s Scholarship. Apply now!",,,,,,
,"1080x1350 ig
1080x1080 fb",FES UAE Malaysia Campaign,"FES 21 Years Logo
Reasons To Study Medicine in Malaysia
International exposure
Low tuition fee
Modern hospitals for training
WHO recognized degrees
English taught programs

Enroll now for September 2025 Intake

Contact Now
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 52 367 3994
www.fespak.com",Tayyaba,,,,15 May,19 May,Completed ,,"Are these reasons making you want to study Medicine in Malaysia? Sounds pretty great, right? So, get a free consultation and apply now!",Posted ,,,,,
SM post,"1080x1350 ig
1080x1080 fb",FES UAE Malaysia Campaign,"FES 21 Years Logo
MBBS in Malaysia
The Perfect choice for UAE Students Seeking Quality and Affordability

Enroll Now For
September 2025 Intake 

Contact Now
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 52 367 3994
www.fespak.com",Tayyaba,"We are starting campaign of studying medicine in malaysia, so design the grids in contrast or whatever you think will look good in the grid. ","https://www.pinterest.com/pin/655696027037487239/
https://www.pinterest.com/pin/711076228706034305/
https://www.pinterest.com/pin/672021575689939803/",Insia,15 May,19 May,Completed ,,"Start your medical career with the Bachelor of Medicine and Bachelor of Surgery (MBBS) in Malaysia. The September 2025 intake is now open, offering international students a chance to study in a globally recognized medical program with modern facilities and experienced faculty. Apply now!

Contact us at: +971 50 551 9464
Website: www.fesgateway.com",Posted ,,,,,
SM post,"1080x1350 ig
1080x1080 fb",FES UAE Malaysia Campaign,"FES 21 Years Logo
Start your higher education from
Top Ranked Universities

(Logos)
Management & Science University (MSU)
Mahsa University
Cyberjaya University College of Medical Sciences
Segi University
University kuala lumpur UNkil

September 2025 Intake 
Contact Now
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 52 367 3994
www.fespak.com",Tayyaba,,https://www.pinterest.com/pin/962996332830725006/,Insia,15 May,20 May,Completed ,,"Start your higher education from Top Ranked Malaysian Universities for the September 2025 Intake. Get direct access to top universities, scholarships and international study programs. 🎓",Posted ,,,,,
Logo,,,22 Years Logo,Raheel,,,Insia,15 May,,Completed ,,None,,,,,,
SM post,"1080x1350 ig
1080x1080 fb",FES UAE,"FES 22 Years Logo
NO IELTS
NO PROBLEM

Explore Options Without IELTS Through FES &
Enroll in September 2025 Intake 

Contact Now
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 50 551 9464 
dubai@fesgateway.com
www.fesgateway.com
",Tayyaba,,,Insia,15 May,,Completed ,,None,Posted,,,,,
Printing,A4 ,UK Update,White Paper,Raheel,,,Amjad,,,Completed ,,"Recently, the UK Government introduced a White Paper titled Restoring Control Over the Immigration System, outlining a number of proposed reforms that could bring meaningful changes to how international students apply, study, and stay in the UK. These shifts are understandably drawing a lot of attention, not only from students but also from institutions and education consultants around the world.

As CEO of FES, I want to say that we welcome this renewed emphasis on quality, compliance, and long-term sustainability. These reforms, if implemented thoughtfully, will help preserve the credibility of the UK’s education system and ensure it remains accessible to students who are genuinely committed to academic and professional growth.

It’s natural to feel uncertain when big policy changes are introduced, but we believe these developments are a step in the right direction. A system built on transparency, fairness, and merit benefits everyone, students, universities, and the education sector as a whole.

We look forward to collaborating with the UK Home Office and Department for Education to support international student rights and promote sustainable growth in UK higher education recruitment.

We Guide You Lead
www.fespak.com",Posted,,,,,
Event Cover,,Gujranwala Event,"In-house session with Miss NIDA waseem
Representative of university of Stirling 
Date 19 may 2025
On spot admission 
Scholarships Available 
Timings 2 pm to 4 pm
Location FES Gujranwala 
Address office 1-2 trust plaza Gujranwala 
pH no 03418454949
03458454634",Raheel,use any previous design,,Shumaila,17 May,,Completed ,,Previous,Posted,,,,,
S U N D A Y                                                                                                                        S U N D A Y,,,,,,,,,,,,,,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Expo Cities,"FES, 21 Years and Expo Logo
Get Right Guidance at the Right Time at 
Pakistan’s Biggest Study Abroad Expo 
Happening In Your City

Lahore
Gujranwala
Rawalpindi
Wah Cantt
Peshawar
Mardan
Abbottabad
Karachi

#ParhoWahanBarhoYahan
Register Now (QR Code)

0346 8454999
0341 8454888
www.fespak.com",Raheel,,https://www.pinterest.com/pin/758786237256558118/,Insia,19 May,,,,,,,,,,
SM post,"1080x1350 ig
1080x1080 fb",,"FES Logo, 22 Years Logo
Celebrating 22 Years of Excellence
A Name Trusted Worldwide
Thank you for being a part of our journey
We Guide, You Lead

www.fespak.com",Raheel,Priority,https://www.pinterest.com/pin/20969954511014568/,Insia,19 May,,Completed ,,"For over two decades, FES has proudly stood as a symbol of trust and excellence in international education. Thank you for being a part of our story. We couldn’t have done it without you. Let’s keep moving forward towards new goals, greater dreams, and global success.",Posted,,,,,
SM post,"1080x1350 ig
1080x1080 fb",Expo Journey,"FES, 21 Years and Expo Logo
Your Study Abroad Journey With FES is
Fast
Reliable
Trusted
Simple

#ParhoWahanBarhoYahan
Register Now (QR Code)

0346 8454999
0341 8454888
www.fespak.com",Tayyaba,,"https://www.pinterest.com/pin/758786237256558114/
https://www.pinterest.com/pin/647673990203805493/",Insia,19 May,,Completed ,,"Studying abroad doesn’t have to be complicated. With FES, your journey is fast, reliable, trusted, and simple — just the way it should be. Let the experts guide you every step of the way. ",Posted,,,,,
Printing,"1080x1350 ig
1080x1080 fb",A5,A5 of all cities,Raheel,,,Shumaila,17 May,17 May,Completed ,,None,None,,,,,
Event Cover,,Karachi Striling Event,Karachi Stirling Event Cover ,Raheel,,,Amjad,19 May,19 May,Completed ,,"Looking for the perfect UK university? The University of Stirling is here to help you take the next step in your academic journey!
Join us for an Exclusive In-House Session at the FES Office, Karachi, on 26th May 2025! Meet Ms. Nida Waseem, Pakistan Manager for Communications, Marketing, and Recruitment and get expert guidance on courses, scholarships, career opportunities and everything you need to know about studying at Stirling.

Register Now⬇️
https://forms.gle/trcUeTR6bzcHGFRJ9

📍 M-101, Mezzanine Floor, Above Faisal Bank, Off Nipa Chowrangi, FL-3/1 Block No.5, Gulshan-e-Iqbal, Karachi.

For More Info
0344-8454242
www.fespak.com",Posted,,,,,
SM post,"1080x1350 ig
1080x1080 fb",,Birthday Post,Raheel,,,Shumaila,19 May,19 May,Completed ,,None,None,,,,,
Printing,2x5 ft,FES General Standee,Peshawar Standee,Raheel,,,Insia,19 May,19 May,Completed ,,None,No need to post,,,,,
Banners,,Banner,Abbottabad UET x Comsats,Raheel,,,Shumaila,19 May,19 May,Completed ,,None,No need to post,,,,,
Printing,A5,A5,A5 of Karachi,Raheel,,,Insia,20 May,20 May,Completed ,,None,None,,,,,
SM post,"1080x1350 ig
1080x1080 fb","FES UAE
UK MBBS","FES 21 Years Logo
Study MBBS in the UK
Admissions open for September 2025 intake

Contact Now
The Meydan Hotel, Grandstand, 6th floor, Meydan Road, Nad Al Sheba, Dubai, U.A.E
+971 52 367 3994
www.fesgateway.com",Tayyaba,Dark Background,https://www.pinterest.com/pin/8444318045635892/,Insia,20 May,,Completed ,,Want to become a doctor with a UK degree? Get expert help to choose the right medical university and apply smoothly with FES.,Posted,,,,,
